970191238,9,SAT,665,NONE
970191231,9,SAT,642,NONE
970191232,12,SAT,841,NONE
970191233,11,SAT,708,NONE
970191234,10,SAT,610,NONE
970191235,9,SAT,815,NONE
970191236,9,SAT,969,NONE
970191237,10,SAT,636,NONE
970191239,10,SAT,608,NONE
970191240,11,SAT,700,NONE
970191241,12,SAT,964,NONE
970191242,12,SAT,881,NONE
970191243,12,SAT,826,NONE
970191244,12,SAT,831,NONE
970191245,9,SAT,560,NONE
970191246,9,SAT,736,NONE
970191247,12,SAT,896,NONE
970191248,11,SAT,607,NONE
970191249,10,SAT,975,NONE
970191250,9,SAT,645,NONE
970190203,9,SAT,608,NONE
970196507,10,SAT,785,NONE
970194313,10,SAT,941,NONE
970193301,11,SAT,952,NONE
970197977,12,SAT,529,NONE
970196159,12,SAT,940,NONE
970196781,12,SAT,524,NONE
970196884,12,SAT,647,NONE
970192057,9,SAT,777,NONE
970192888,9,SAT,776,NONE
970196648,12,SAT,920,NONE
970195920,11,SAT,761,NONE
970199374,10,SAT,707,NONE
970191729,9,SAT,675,NONE
970192979,9,SAT,872,NONE
970196972,10,SAT,718,NONE
970194914,10,SAT,934,NONE
970191892,11,SAT,574,NONE
970195596,12,SAT,603,NONE
970195576,12,SAT,666,NONE
970191486,12,SAT,568,NONE
970194620,12,SAT,678,NONE
970199104,9,SAT,798,NONE
970198526,9,SAT,568,NONE
970190644,12,SAT,678,NONE
970195400,11,SAT,798,NONE
970199793,10,SAT,568,NONE
970199555,9,SAT,678,NONE
970199316,9,SAT,798,NONE
970191680,10,SAT,568,NONE
970195370,10,SAT,678,NONE
970195044,11,SAT,798,NONE
970196169,12,SAT,568,NONE
970190258,12,SAT,678,NONE
970195552,12,SAT,798,NONE
970195719,12,SAT,568,NONE
970199264,9,SAT,678,NONE
970197899,9,SAT,798,NONE
970193490,12,SAT,568,NONE
970196840,11,SAT,798,NONE
970316631,10,SAT,674,NONE
970692054,9,SAT,677,NONE
970979658,9,SAT,676,NONE
970606653,10,SAT,674,NONE
970790597,10,SAT,673,NONE
970484356,11,SAT,671,NONE
970968718,12,SAT,678,NONE
970371821,12,SAT,798,NONE
970555524,12,SAT,568,NONE
970320675,12,SAT,678,NONE
970432923,9,SAT,798,NONE
970355590,9,SAT,568,NONE
970826660,12,SAT,678,NONE
970467016,11,SAT,798,NONE
970781373,10,SAT,568,NONE
970593729,9,SAT,798,NONE
970394807,9,SAT,674,NONE
970789879,10,SAT,677,NONE
970483049,10,SAT,676,NONE
970988248,11,SAT,674,NONE
970196875,12,SAT,673,NONE
970742743,12,SAT,671,NONE
970972531,12,SAT,678,NONE
970429075,12,SAT,798,NONE
970545400,9,SAT,568,NONE
970395473,9,SAT,678,NONE
970750801,12,SAT,798,NONE
970228428,11,SAT,568,NONE
970637762,10,SAT,678,NONE
970498476,9,SAT,798,NONE
970853319,9,SAT,568,NONE
970807482,10,SAT,798,NONE
970539450,10,SAT,674,NONE
970439527,11,SAT,677,NONE
970762832,12,SAT,676,NONE
970356659,12,SAT,674,NONE
970219726,12,SAT,673,NONE
970238672,12,SAT,671,NONE
970280697,9,SAT,603,NONE
970933096,9,SAT,333,NONE
